koordinat_y,periode_data,wilayah,kecamatan,kelurahan,nama_halte,lokasi,koordinat_x
106.817628,2024,Kota Adm. Jakarta Selatan,Mampang Prapatan,Kebayoran Baru,Widya Chandra Telkomsel Arah Barat,Jalan Jenderal Gatot Subroto,-6.227392
106.790397,2024,Kota Adm. Jakarta Barat,Grogol Petamburan,Grogol Petamburan,Kali Grogol Arah Utara,Jalan Prof. Dr. Latumenten,-6.16106
106.84388,2024,Kota Adm. Jakarta Selatan,Tebet,Pancoran,Pancoran Tugu,Jalan MT Haryono,-6.2433
106.817918,2024,Kota Adm. Jakarta Barat,Taman Sari,Taman Sari,Mangga Dua Raya,Jalan Mangga Dua Raya,-6.137611
106.834834,2024,Kota Adm. Jakarta Pusat,Sawah Besar,Sawah Besar,Pasar Baru,Jalan Pos,-6.166129
106.838114,2024,Kota Adm. Jakarta Pusat,Kemayoran,Sawah Besar,Pasar Baru Timur,Jalan Gunung Sahari Raya,-6.162272
106.862455,2024,Kota Adm. Jakarta Pusat,Cempaka Putih,Cempaka Putih,Pasar Cempaka Putih,Jalan Letnan Jenderal Suprapto,-6.172325
106.878194,2024,Kota Adm. Jakarta Timur,Jatinegara,Jatinegara,Pasar Enjo,Jalan Haji Darip,-6.214881
106.860915,2024,Kota Adm. Jakarta Pusat,Cempaka Putih,Cempaka Putih,Pasar Genjing,Jalan Pramuka,-6.194446
106.872032,2024,Kota Adm. Jakarta Timur,Kramat Jati,Rambutan,Pasar Induk,Jalan Raya Bogor,-6.294215
106.866318,2024,Kota Adm. Jakarta Timur,Jatinegara,Jatinegara,Bali Mester,Jalan Jatinegara Timur,-6.215744
106.783229,2024,Kota Adm. Jakarta Selatan,Kebayoran Lama,Kebayoran Lama,Kebayoran,Jalan Teuku Nyak Arief,-6.238413
106.866632,2024,Kota Adm. Jakarta Timur,Kramat Jati,Kramat Jati,Kramat Jati,Jalan Raya Bogor,-6.268822
106.97431,2024,Kab. Bekasi,Medan Satria,Medansatria,Pasar Modern Harapan Indah,Jalan Harapan Indah Bulevar,-6.168544
106.905913,2024,Kota Adm. Jakarta Timur,Pulo Gadung,Pulo Gadung,Pasar Pulo Gadung,Jalan Bekasi Raya,-6.187434
106.841118,2024,Kota Adm. Jakarta Selatan,Setiabudi,Setiabudi,Pasar Rumput,Jalan Sultan Agung,-6.207125
106.832087,2024,Kota Adm. Jakarta Selatan,Setiabudi,Setiabudi,Patra Kuningan,Jalan Hajjah R. Rasuna Said,-6.232677
106.82819,2024,Kota Adm. Jakarta Pusat,Gambir,Gambir,Pecenongan,Jalan Insinyur Haji Juanda,-6.16771
106.874386,2024,Kota Adm. Jakarta Timur,Jatinegara,Jatinegara,Pedati Prumpung,Jalan DI Panjaitan,-6.22016
106.882464,2024,Kota Adm. Jakarta Timur,Pulo Gadung,Pulo Gadung,Pedongkelan,Jalan Perintis Kemerdekaan,-6.167962
106.829724,2024,Kota Adm. Jakarta Selatan,Pasar Minggu,Pasar Minggu,Pejaten,Jalan Buncit Raya,-6.278404
106.874979,2024,Kota Adm. Jakarta Timur,Pulo Gadung,Pulo Gadung,Pemuda Pramuka,Jembatan Penyebrangan Orang Pemuda Pramuka,-6.192795
106.89165,2024,Kota Adm. Jakarta Timur,Pulo Gadung,Pulo Gadung,Pemuda Rawamangun,Jalan Pemuda,-6.193488
106.878,2024,Kota Adm. Jakarta Timur,Jatinegara,Jatinegara,Halim,Jalan DI Panjaitan,-6.23907
106.939609,2024,Kota Adm. Jakarta Timur,Cakung,Penggilingan,Penggilingan,Penggilingan Raya,-6.214132
106.792026,2024,Kota Adm. Jakarta Utara,Penjaringan,Penjaringan,Penjaringan,Jalan Pluit Selatan Raya,-6.126306
106.89309,2024,Kota Adm. Jakarta Utara,Tanjung Priok,Koja,Koja,Jalan Yos Sudarso,-6.11413
106.783246,2024,Kota Adm. Jakarta Selatan,Kebayoran Lama,Kebayoran Lama,Permata Hijau,Jalan Letnan Jenderal Soepeno,-6.221427
106.777613,2024,Kota Adm. Jakarta Barat,Kebon Jeruk,Kebon Jeruk,Arteri,Jalan Arteri Pos Pengumben,-6.218401
